Name,Source,Internal URL,External URL
"3D Genome Browser","genocat","http://genocat.tools/tools/3d_genome_browser/","http://3dgb.cs.mcgill.ca/"
"Alvis","genocat","http://genocat.tools/tools/alvis/","https://bitbucket.org/rfs/alvis/src/master/"
"ABrowse","genocat","http://genocat.tools/tools/abrowse/","http://www.abrowse.org/"
"3dViewer","genocat","http://genocat.tools/tools/3dviewer/","http://bioinfo.au.tsinghua.edu.cn/member/nadhir/HiC3DViewer/"
"CEpBrowser","genocat","http://genocat.tools/tools/cepbrowser/","https://www.cepbrowser.org/"
"BactoGenie","genocat","http://genocat.tools/tools/bactogenie/","http://genocat.tools/tools/bactogenie/"
"AliView","genocat","http://genocat.tools/tools/aliview/","http://ormbunkar.se/aliview/"
"BedSect","genocat","http://genocat.tools/tools/bedsect/","http://imgsb.org/bedsect/"
"CGView","genocat","http://genocat.tools/tools/cgview/","http://wishart.biology.ualberta.ca/cgview/"
"Apollo","genocat","http://genocat.tools/tools/apollo/","https://github.com/GMOD/Apollo"
"Circos","genocat","http://genocat.tools/tools/circos/","http://circos.ca/"
"CRISPResso2","genocat","http://genocat.tools/tools/crispresso2/","https://crispresso.pinellolab.partners.org/submission"
"Civi","genocat","http://genocat.tools/tools/civi/","http://civi.cmbi.ru.nl/"
"CRAMER","genocat","http://genocat.tools/tools/cramer/","https://github.com/FadyMohareb/cramer"
"Cinteny","genocat","http://genocat.tools/tools/cinteny/","http://cinteny.cchmc.org/"
"Cooler","genocat","http://genocat.tools/tools/cooler/","https://github.com/mirnylab/cooler"
"CNVkit","genocat","http://genocat.tools/tools/cnvkit/","https://github.com/etal/cnvkit"
"CGView Server","genocat","http://genocat.tools/tools/cgview_server/","http://stothard.afns.ualberta.ca/cgview_server/"
"ClicO Free Service","genocat","http://genocat.tools/tools/clico_free_service/","http://codoncloud.com:3000/"
"Combo","genocat","http://genocat.tools/tools/combo/","http://genocat.tools/tools/combo/n/a"
"EnrichedHeatmap","genocat","http://genocat.tools/tools/enrichedheatmap/","https://bioconductor.org/packages/release/bioc/html/EnrichedHeatmap.html"
"Deep Motif Dashboard","genocat","http://genocat.tools/tools/deep_motif_dashboard/","https://qdata.github.io/deep4biomed-web//"
"DNAPlotter","genocat","http://genocat.tools/tools/dnaplotter/","https://www.sanger.ac.uk/science/tools/dnaplotter"
"Edgar Genome Browser","genocat","http://genocat.tools/tools/edgar_genome_browser/","https://edgar.computational.bio.uni-giessen.de/cgi-bin/edgar.cgi?action=view&type=genomeBrowser&project=EDGAR_Aerococcus"
"EaSeq","genocat","http://genocat.tools/tools/easeq/","https://easeq.net/"
"deepTools Heatmap","genocat","http://genocat.tools/tools/deeptools_heatmap/","https://deeptools.readthedocs.io/en/develop/content/tools/plotHeatmap.html"
"Dalliance","genocat","http://genocat.tools/tools/dalliance/","https://www.biodalliance.org/"
"Edgar Synteny Plots","genocat","http://genocat.tools/tools/edgar_synteny_plots/","http://genome.lbl.gov/vista/index.shtml"
"EpiViz","genocat","http://genocat.tools/tools/epiviz/","https://epiviz.github.io/"
"Ensembl","genocat","http://genocat.tools/tools/ensembl/","http://www.ensembl.org/"
"genoPlotR","genocat","http://genocat.tools/tools/genoplotr/","http://genoplotr.r-forge.r-project.org/"
"Genome Annotator Light (GAL)","genocat","http://genocat.tools/tools/genome_annotator_light_(gal)/","https://github.com/computational-genomics-lab/GAL"
"Galaxy HiCExplorer","genocat","http://genocat.tools/tools/galaxy_hicexplorer/","https://hicexplorer.usegalaxy.eu/"
"Geneious","genocat","http://genocat.tools/tools/geneious/","https://www.geneious.com/"
"Gepard","genocat","http://genocat.tools/tools/gepard/","http://mips.gsf.de/services/analysis/gepard"
"GenomeView","genocat","http://genocat.tools/tools/genomeview/","http://genomeview.org/"
"GenomeRing","genocat","http://genocat.tools/tools/genomering/","https://www.wsi.uni-tuebingen.de/lehrstuehle/integrative-transkriptomik/software/genomering/"
"GenPlay","genocat","http://genocat.tools/tools/genplay/","http://genplay.net/wiki/index.php/Downloads"
"GBrowse_syn","genocat","http://genocat.tools/tools/gbrowse_syn/","http://gmod.org/wiki/GBrowse_syn"
"GBrowse","genocat","http://genocat.tools/tools/gbrowse/","http://gmod.org/wiki/GBrowse"
"HilbertVis","genocat","http://genocat.tools/tools/hilbertvis/","https://bioconductor.org/packages/release/bioc/html/HilbertVis.html"
"Gremlin","genocat","http://genocat.tools/tools/gremlin/","http://compbio-research.cs.brown.edu/software/Gremlin/geneVisDemo.html"
"HiPiler","genocat","http://genocat.tools/tools/hipiler/","http://hipiler.higlass.io/"
"HUGIn","genocat","http://genocat.tools/tools/hugin/","http://yunliweb.its.unc.edu/HUGIn"
"Gosling","genocat","http://genocat.tools/tools/gosling/","https://gosling.js.org/"
"GView","genocat","http://genocat.tools/tools/gview/","https://www.gview.ca/wiki/GView/WebHome"
"HilbertCurve","genocat","http://genocat.tools/tools/hilbertcurve/","https://bioconductor.org/packages/release/bioc/html/HilbertCurve.html"
