Name,Source,Internal URL,External URL
"3D Genome Browser","genocat","http://genocat.tools/tools/3d_genome_browser/","http://3dgb.cs.mcgill.ca/"
"3dViewer","genocat","http://genocat.tools/tools/3dviewer/","http://bioinfo.au.tsinghua.edu.cn/member/nadhir/HiC3DViewer/"
"AA (alignment annotator)","awesome-tools-visualization","","http://www.bioinformatics.org/strap/aa"
"ABrowse (genome browser)","awesome-tools-visualization","","null"
"abrowse (MSA viewer)","awesome-tools-visualization","","https://github.com/ihh/abrowse"
"ABrowse","genocat","http://genocat.tools/tools/abrowse/","http://www.abrowse.org/"
"Aequatus","awesome-tools-visualization","","https://github.com/TGAC/Aequatus"
"AGB assembly graph browser","awesome-tools-visualization","","null"
"alignment.js","awesome-tools-visualization","","https://github.com/veg/alignment.js"
"AlignmentViewer","awesome-tools-visualization","","https://alignmentviewer.org/"
"AliTV","awesome-tools-visualization","","https://alitvteam.github.io/AliTV/d3/AliTV.html"
"AliView","genocat","http://genocat.tools/tools/aliview/","http://ormbunkar.se/aliview/"
"Allen Brain Map - Transcriptomics Explorer","awesome-biological-visualizations","","http://celltypes.brain-map.org/rnaseq/human_m1_10x"
"Allen Mouse Brain Connectivity Atlas","awesome-biological-visualizations","","http://connectivity.brain-map.org/"
"Alvis","genocat","http://genocat.tools/tools/alvis/","https://bitbucket.org/rfs/alvis/src/master/"
"AlzMap","awesome-biological-visualizations","","https://alzmap.org/"
"AnnoJ","awesome-tools-visualization","","https://brainome.ucsd.edu/howto_annoj.html"
"Apollo aka WebApollo","awesome-tools-visualization","","https://genomearchitect.readthedocs.io/en/latest/"
"Apollo","genocat","http://genocat.tools/tools/apollo/","https://github.com/GMOD/Apollo"
"Aquaria","awesome-tools-visualization","","http://aquaria.ws/Q9HD67/5i0i/A"
"Archaeopteryx","awesome-biological-visualizations","","http://www.phyloxml.org/archaeopteryx-js/bcl2_js.html"
"ASAP","awesome-biological-visualizations","","https://asap.epfl.ch/"
"Avivator","awesome-biological-visualizations","","http://avivator.gehlenborglab.org/"
"BactoGenie","genocat","http://genocat.tools/tools/bactogenie/","http://genocat.tools/tools/bactogenie/"
"BedSect","genocat","http://genocat.tools/tools/bedsect/","http://imgsb.org/bedsect/"
"BigTop","awesome-tools-visualization","","https://blog.dnanexus.com/2019-05-21-bigtop-data-visualization/"
"BioCircos.js","awesome-tools-visualization","","http://bioinfo.ibp.ac.cn/biocircos/"
"Biodalliance comparative demo","awesome-tools-visualization","","http://biodalliance.org/dev/test-comparative.html"
"Biodalliance","awesome-tools-visualization","","http://www.biodalliance.org/"
"BioJS/MSA","awesome-tools-visualization","","https://msa.biojs.net/"
"Boxshade","awesome-tools-visualization","","https://embnet.vital-it.ch/software/BOX_form.html"
"Brain mRNA Isoform Atlas","awesome-biological-visualizations","","https://isoformatlas.com/"
"Broad Institute Single Cell Portal","awesome-biological-visualizations","","https://singlecell.broadinstitute.org/single_cell"
"cBioPortal for Cancer Genomics","awesome-biological-visualizations","","http://www.cbioportal.org/"
"cellxgene","awesome-biological-visualizations","","https://www.kidneycellatlas.org/mature-kidney-immune"
"CEpBrowser","genocat","http://genocat.tools/tools/cepbrowser/","https://www.cepbrowser.org/"
"CGView Server","genocat","http://genocat.tools/tools/cgview_server/","http://stothard.afns.ualberta.ca/cgview_server/"
"CGView","genocat","http://genocat.tools/tools/cgview/","http://wishart.biology.ualberta.ca/cgview/"
"CGView","awesome-tools-visualization","","http://cgview.ca/"
"Chromatiblock","awesome-tools-visualization","","https://github.com/mjsull/chromatiblock"
"Chromatic","awesome-tools-visualization","","https://chromatic.nci.nih.gov/"
"Cinteny","awesome-tools-visualization","","http://cinteny.cchmc.org/"
"Circos","genocat","http://genocat.tools/tools/circos/","http://circos.ca/"
"CircosJS","awesome-tools-visualization","","https://github.com/nicgirault/circosJS"
"Civi","genocat","http://genocat.tools/tools/civi/","http://civi.cmbi.ru.nl/"
"ClicO Free Service","genocat","http://genocat.tools/tools/clico_free_service/","http://codoncloud.com:3000/"
"clinker","awesome-tools-visualization","","https://github.com/gamcil/clinker"
"clonifier","awesome-tools-visualization","","https://dlesl.github.io/clonifier/"
"Clustergrammer CCLE Explorer","awesome-biological-visualizations","","https://maayanlab.github.io/CCLE_Clustergrammer/"
"Clustergrammer","awesome-biological-visualizations","","https://maayanlab.cloud/clustergrammer/"
"CMap","awesome-tools-visualization","","http://gmod.org/wiki/CMap"
"CNVkit","genocat","http://genocat.tools/tools/cnvkit/","https://github.com/etal/cnvkit"
"Coessentiality","awesome-biological-visualizations","","http://coessentiality.net/"
"CoGe","awesome-tools-visualization","","https://genomevolution.org/coge/"
"Combo","genocat","http://genocat.tools/tools/combo/","http://genocat.tools/tools/combo/n/a"
"Comparative assembly hub / "snake track"","awesome-tools-visualization","","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4296145/"
"CoolBox","awesome-tools-visualization","","null"
"Cooler","genocat","http://genocat.tools/tools/cooler/","https://github.com/mirnylab/cooler"
"COSMIC Cancer Browser","awesome-biological-visualizations","","https://cancer.sanger.ac.uk/cosmic/browse/tissue"
"COSMIC-3D","awesome-biological-visualizations","","https://cancer.sanger.ac.uk/cosmic3d/protein/EGFR"
"CRAMER","genocat","http://genocat.tools/tools/cramer/","https://github.com/FadyMohareb/cramer"
"CRISPResso2","genocat","http://genocat.tools/tools/crispresso2/","https://crispresso.pinellolab.partners.org/submission"
"Cvit.js","awesome-tools-visualization","","https://github.com/LegumeFederation/cvitjs"
"CVit","awesome-tools-visualization","","https://sourceforge.net/projects/cvit/"
"Cytosplore","awesome-biological-visualizations","","https://www.cytosplore.org/"
"D-GENIES","awesome-tools-visualization","","http://dgenies.toulouse.inra.fr/"
"D3GB","awesome-tools-visualization","","http://d3gb.usal.es/"
"Deep Motif Dashboard","genocat","http://genocat.tools/tools/deep_motif_dashboard/","https://qdata.github.io/deep4biomed-web//"
"deepTools Heatmap","genocat","http://genocat.tools/tools/deeptools_heatmap/","https://deeptools.readthedocs.io/en/develop/content/tools/plotHeatmap.html"
"Delta","awesome-biological-visualizations","","http://delta.big.ac.cn/"
"DNAPlotter","genocat","http://genocat.tools/tools/dnaplotter/","https://www.sanger.ac.uk/science/tools/dnaplotter"
"DNASkittle","awesome-tools-visualization","","https://www.dnaskittle.com/"
"Dot","awesome-tools-visualization","","https://dot.sandbox.bio/"
"Dotlet","awesome-tools-visualization","","https://dotlet.vital-it.ch/"
"Dotplot (chirimoyo)","awesome-tools-visualization","","https://chirimoyo.ac.uma.es/bitlab/portfolio/dotplot/"
"dotPlotly","awesome-tools-visualization","","https://github.com/tpoorten/dotPlotly/"
"EaSeq","genocat","http://genocat.tools/tools/easeq/","https://easeq.net/"
"EBI Single Cell Expression Atlas","awesome-biological-visualizations","","https://www.ebi.ac.uk/gxa/sc/home"
"Edgar Genome Browser","genocat","http://genocat.tools/tools/edgar_genome_browser/","https://edgar.computational.bio.uni-giessen.de/cgi-bin/edgar.cgi?action=view&type=genomeBrowser&project=EDGAR_Aerococcus"
"EnrichedHeatmap","genocat","http://genocat.tools/tools/enrichedheatmap/","https://bioconductor.org/packages/release/bioc/html/EnrichedHeatmap.html"
"Ensembl genome browser 2020 edition","awesome-tools-visualization","","http://2020.ensembl.org/"
"Ensembl genome browser","awesome-tools-visualization","","https://useast.ensembl.org/Homo_sapiens/Location/View?r=17:63992802-64038237"
"Ensembl","awesome-biological-visualizations","","http://www.ensembl.org/"
"Epilogos","awesome-tools-visualization","","https://epilogos.altius.org/"
"Epiviz","awesome-tools-visualization","","https://epiviz.github.io/"
"Epiviz","awesome-biological-visualizations","","http://epiviz.cbcb.umd.edu/4/"
"ESPript","awesome-tools-visualization","","http://espript.ibcp.fr/ESPript/ESPript/"
"eweitz/Ideogram","awesome-tools-visualization","","https://github.com/eweitz/ideogram"
"ExploSig","awesome-biological-visualizations","","http://explosig.lrgr.io/"
"EzMol","awesome-biological-visualizations","","http://www.sbg.bio.ic.ac.uk/~ezmol/"
"FeatureViewer","awesome-tools-visualization","","https://github.com/calipho-sib/feature-viewer"
"FluentDNA","awesome-tools-visualization","","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7203487/"
"FlyWire","awesome-biological-visualizations","","https://flywire.ai/"
"Galaxy HiCExplorer","genocat","http://genocat.tools/tools/galaxy_hicexplorer/","https://hicexplorer.usegalaxy.eu/"
"GBrowse 2","awesome-tools-visualization","","http://gmod.org/wiki/GBrowse"
"GBrowse_syn","awesome-tools-visualization","","http://gmod.org/wiki/GBrowse_syn"
"GECO","awesome-tools-visualization","","http://bioinfo.mikrobio.med.uni-giessen.de/geco2/GecoMainServlet"
"GeCoViz","awesome-tools-visualization","","https://gecoviz.cgmlab.org/"
"Geneious","genocat","http://genocat.tools/tools/geneious/","https://www.geneious.com/"
"GeneMANIA","awesome-biological-visualizations","","http://genemania.org/"
"Genome Annotator Light (GAL)","genocat","http://genocat.tools/tools/genome_annotator_light_(gal)/","https://github.com/computational-genomics-lab/GAL"
"Genome Context Viewer","awesome-tools-visualization","","https://www.legumefederation.org/gcv/phytozome_10_2/"
"GenomePaint","awesome-tools-visualization","","https://genomepaint.stjude.cloud/"
"GenomeRing","genocat","http://genocat.tools/tools/genomering/","https://www.wsi.uni-tuebingen.de/lehrstuehle/integrative-transkriptomik/software/genomering/"
"GenomeSpy","awesome-tools-visualization","","https://genomespy.app/"
"GenomeSyn","awesome-tools-visualization","","https://github.com/jmsong2/GenomeSyn"
"GenomeView","genocat","http://genocat.tools/tools/genomeview/","http://genomeview.org/"
"Genomicus","awesome-tools-visualization","","https://www.genomicus.biologie.ens.fr/genomicus/"
"genoPlotR","genocat","http://genocat.tools/tools/genoplotr/","http://genoplotr.r-forge.r-project.org/"
"Genoverse","awesome-tools-visualization","","https://github.com/wtsi-web/Genoverse"
"GenPlay","genocat","http://genocat.tools/tools/genplay/","http://genplay.net/wiki/index.php/Downloads"
"Gepard","genocat","http://genocat.tools/tools/gepard/","http://mips.gsf.de/services/analysis/gepard"
"ggBio","genocat","http://genocat.tools/tools/ggbio/","https://bioconductor.org/packages/release/bioc/html/ggbio.html"
"gGnomes.js","awesome-tools-visualization","","https://github.com/mskilab/gGnome.js"
"gGnomes","awesome-tools-visualization","","https://github.com/mskilab/gGnome"
"gingko","awesome-tools-visualization","","http://qb.cshl.edu/ginkgo/?q=/9EiUttUP0CBHs3WnuBa0"
