Name,Internal URL,External URL
"COSMIC Cancer Browser","","https://cancer.sanger.ac.uk/cosmic/browse/tissue"
"UCSC Xena","","https://xenabrowser.net/"
"cBioPortal for Cancer Genomics","","http://www.cbioportal.org/"
"iCoMut Beta for FireBrowse","","http://firebrowse.org/iCoMut/"
"MAGI","","http://magi.brown.edu/"
"ExploSig","","http://explosig.lrgr.io/"
"Race, Gender, and Age in TCGA","","https://www.enpicom.com/visual-lab/tcga-visual-exploration-gender-race-age/"
"OASISPRO","","http://tinyurl.com/oasispro"
"Signal","","https://signal.mutationalsignatures.com/"
"Oncoscape","","https://oncoscape.sttrcancer.org/"
"UCSC Genome Browser","","https://genome.ucsc.edu/"
"Ensembl","","http://www.ensembl.org/"
"IMP: Integrative Multi-species Prediction","","http://imp.princeton.edu/"
"PLACNETw","","https://castillo.dicom.unican.es/ex1/?unique=58f731fec480a"
"PhyD3","","https://phyd3.bits.vib.be/view.php?id=91162629d258a876ee994e9233b2ad87&f=xml"
"Archaeopteryx","","http://www.phyloxml.org/archaeopteryx-js/bcl2_js.html"
"GeneMANIA","","http://genemania.org/"
"Mutaframe","","http://deogen2.mutaframe.com/"
"Coessentiality","","http://coessentiality.net/"
"Gosling","","https://gosling.js.org/"
"HiGlass","","http://higlass.io/"
"HiPiler","","http://hipiler.higlass.io/"
"Delta","","http://delta.big.ac.cn/"
"Juicebox","","http://aidenlab.org/juicebox/"
"TADkit","","http://sgt.cnag.cat/3dg/tadkit/demo.h/index.html#!/project/dataset?conf=assets%2Fexamples%2Fconf.json"
"Metaviz","","http://metaviz.cbcb.umd.edu/"
"Malaria Cell Atlas","","https://www.sanger.ac.uk/science/tools/mca/mca/"
"Epiviz","","http://epiviz.cbcb.umd.edu/4/"
"GIVe","","https://mcf7.givengine.org/"
"WashU Epigenome Browser","","http://epigenomegateway.wustl.edu/"
"Clustergrammer CCLE Explorer","","https://maayanlab.github.io/CCLE_Clustergrammer/"
"Peax","","https://github.com/Novartis/peax"
"COSMIC-3D","","https://cancer.sanger.ac.uk/cosmic3d/protein/EGFR"
"EzMol","","http://www.sbg.bio.ic.ac.uk/~ezmol/"
"LiteMol","","https://webchemdev.ncbr.muni.cz/LiteMol/"
"Vitessce","","http://vitessce.io/"
"Brain mRNA Isoform Atlas","","https://isoformatlas.com/"
"AlzMap","","https://alzmap.org/"
"Loom Viewer","","http://loom.linnarssonlab.org/dataset/cells/osmFISH/osmFISH_SScortex_mouse_all_cells.loom/NrBEoXQGhYDYoAYLRARigZlRgTDpAtAgFhRnSyg0Wrt1rUVuAHYlCYAOD5AzOo3qNmMAJy8ctaeWAYS0jvNoNqotpO6TSioZgmqmLCTJhNt0ebPCpgAWkQA6RJjgkxYxLkwlMrAKxIjr5wbv7~iKxcaLj~0AIkULhK~DAscpwZxGZJ_LIgigB2AK4ANqVKHIbquqi10LVKsgIl5RxyybFQPIGYGAi4yey4PGjDArjsaAgYaBOJaDy4A3i0C4G4EgbUEmiJmIwYmMnm2E0QQA"
"TissUUmaps","","https://tissuumaps.research.it.uu.se/"
"Giotto Viewer","","http://spatialgiotto.rc.fas.harvard.edu/giotto.viewer.html"
"cellxgene","","https://www.kidneycellatlas.org/mature-kidney-immune"
"UCSC Cell Browser","","http://cells.ucsc.edu/?ds=cortex-dev"
"L1000FWD","","http://amp.pharm.mssm.edu/L1000FWD/"
"ASAP","","https://asap.epfl.ch/"
"SCope","","http://scope.aertslab.org/"
"Mouse Brain Atlas","","http://mousebrain.org/"
"Broad Institute Single Cell Portal","","https://singlecell.broadinstitute.org/single_cell"
"Allen Brain Map - Transcriptomics Explorer","","http://celltypes.brain-map.org/rnaseq/human_m1_10x"
"Single Cell VR","","https://singlecellvr.herokuapp.com/"
"SPRING","","https://kleintools.hms.harvard.edu/tools/springViewer_1_6_dev.html?datasets/mouse_HPCs/basal_bone_marrow/full"
"START","","https://kcvi.shinyapps.io/START/"
"iSEE","","https://marionilab.cruk.cam.ac.uk/iSEE_allen/"
"TISCH","","http://tisch.comp-genomics.org/home/"
"EBI Single Cell Expression Atlas","","https://www.ebi.ac.uk/gxa/sc/home"
"MORPHEUS","","https://software.broadinstitute.org/morpheus/"
"Clustergrammer","","https://maayanlab.cloud/clustergrammer/"
"IONpath MIBItracker","","https://www.ionpath.com/mibitracker/"
"Avivator","","http://avivator.gehlenborglab.org/"
"neuroglancer","","https://hemibrain-dot-neuroglancer-demo.appspot.com/#!gs://neuroglancer-janelia-flyem-hemibrain/v1.0/neuroglancer_demo_states/kc_apl_mpn1.json"
"Allen Mouse Brain Connectivity Atlas","","http://connectivity.brain-map.org/"
"FlyWire","","https://flywire.ai/"
"Metaspace","","https://metaspace2020.eu/"
"Cytosplore","","https://www.cytosplore.org/"
"Nextstrain","","https://nextstrain.org/"
"Institute for Health Metrics and Evaluation","","http://www.healthdata.org/results/data-visualizations"
"Lifespans","","http://www.cotrino.com/lifespan/"
"Life Expectancy","","http://projects.flowingdata.com/life-expectancy/"
"Snake Oil Supplements","","http://informationisbeautiful.net/visualizations/snake-oil-scientific-evidence-for-nutritional-supplements-vizsweet/"
"SieveSifter","","http://sieve.fredhutch.org/viz/index.html?study=VTN503&protein=gag&reference=MRK_B_Ad5"
